Primary Type,Beat
THEFT,624
STALKING,1833
SEX OFFENSE,2533
DECEPTIVE PRACTICE,1925
OFFENSE INVOLVING CHILDREN,1114
THEFT,1914
DECEPTIVE PRACTICE,2413
OFFENSE INVOLVING CHILDREN,2211
CRIMINAL DAMAGE,733
CRIMINAL DAMAGE,622
OFFENSE INVOLVING CHILDREN,1135
DECEPTIVE PRACTICE,933
THEFT,923
CRIMINAL DAMAGE,2023
CRIMINAL DAMAGE,713
BURGLARY,2211
BATTERY,414
CRIMINAL DAMAGE,1124
CRIMINAL DAMAGE,323
OTHER OFFENSE,423
BATTERY,2221
DECEPTIVE PRACTICE,1935
OTHER OFFENSE,132
CRIMINAL DAMAGE,722
THEFT,2525
CRIMINAL DAMAGE,412
THEFT,1832
THEFT,1834
THEFT,1812
CRIMINAL DAMAGE,2212
MOTOR VEHICLE THEFT,723
CRIMINAL DAMAGE,522
CRIMINAL DAMAGE,2212
OTHER OFFENSE,725
DECEPTIVE PRACTICE,2023
DECEPTIVE PRACTICE,731
OTHER OFFENSE,714
CRIMINAL DAMAGE,533
CRIMINAL DAMAGE,2533
DECEPTIVE PRACTICE,1921
THEFT,1224
CRIMINAL DAMAGE,414
MOTOR VEHICLE THEFT,1011
BATTERY,131
CRIMINAL DAMAGE,1633
THEFT,922
BATTERY,321
THEFT,1235
MOTOR VEHICLE THEFT,2413
CRIMINAL DAMAGE,731
THEFT,2222
THEFT,1222
CRIMINAL SEXUAL ASSAULT,1834
DECEPTIVE PRACTICE,913
THEFT,1834
DECEPTIVE PRACTICE,1612
OTHER OFFENSE,1024
DECEPTIVE PRACTICE,1235
OTHER OFFENSE,711
THEFT,834
THEFT,823
DECEPTIVE PRACTICE,1012
DECEPTIVE PRACTICE,1832
OFFENSE INVOLVING CHILDREN,914
SEX OFFENSE,2233
OTHER OFFENSE,612
OBSCENITY,2411
OTHER OFFENSE,2413
MOTOR VEHICLE THEFT,614
DECEPTIVE PRACTICE,1732
THEFT,931
ASSAULT,1114
OFFENSE INVOLVING CHILDREN,1212
DECEPTIVE PRACTICE,511
DECEPTIVE PRACTICE,1532
THEFT,1923
SEX OFFENSE,1124
THEFT,1231
OFFENSE INVOLVING CHILDREN,2012
THEFT,824
MOTOR VEHICLE THEFT,434
OTHER OFFENSE,2413
DECEPTIVE PRACTICE,1413
OTHER OFFENSE,1812
OTHER OFFENSE,2222
DECEPTIVE PRACTICE,2234
ASSAULT,1732
DECEPTIVE PRACTICE,431
DECEPTIVE PRACTICE,1831
OTHER OFFENSE,621
DECEPTIVE PRACTICE,1234
THEFT,2024
OFFENSE INVOLVING CHILDREN,1032
OFFENSE INVOLVING CHILDREN,513
OFFENSE INVOLVING CHILDREN,732
OFFENSE INVOLVING CHILDREN,232
SEX OFFENSE,324
DECEPTIVE PRACTICE,1232
BATTERY,1831
CRIMINAL DAMAGE,1132
CRIMINAL DAMAGE,922
CRIMINAL DAMAGE,414
CRIMINAL DAMAGE,632
CRIMINAL SEXUAL ASSAULT,1034
CRIMINAL DAMAGE,2535
CRIMINAL DAMAGE,621
CRIMINAL DAMAGE,2531
CRIMINAL DAMAGE,2213
