Primary Type,Description,Location,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
THEFT,OVER $500,RESIDENCE,FALSE,FALSE,624,6,6,44,6,1181612,1852489,2022,11-12-2022 15:46,41.75046233,-87.61005899,"(41.75046233, -87.610058986)"
THEFT,OVER $500,SCHOOL - PUBLIC BUILDING,FALSE,FALSE,923,9,14,63,6,1160882,1871145,2022,12-10-2022 15:46,41.80211009,-87.68550846,"(41.80211009, -87.685508459)"
THEFT,OVER $500,RESTAURANT,FALSE,FALSE,1834,18,42,8,6,1177137,1904514,2022,10-11-2022 16:45,41.89332536,-87.62488541,"(41.893325357, -87.624885406)"
THEFT,OVER $500,CONSTRUCTION SITE,FALSE,FALSE,1224,12,28,28,6,1165777,1899437,2022,11-12-2022 15:46,41.87964349,-87.66675118,"(41.87964349, -87.666751182)"
THEFT,OVER $500,APARTMENT,FALSE,FALSE,922,9,15,58,6,1159793,1874504,2022,11-12-2022 15:46,41.81135007,-87.68940999,"(41.811350067, -87.689409993)"
THEFT,OVER $500,RESIDENCE,FALSE,FALSE,2222,22,21,73,6,1167922,1844748,2022,11-12-2022 15:46,41.72952477,-87.6604472,"(41.729524765, -87.660447195)"
THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,1222,12,27,27,6,1157670,1902069,2022,11-12-2022 15:46,41.88703487,-87.69644722,"(41.887034873, -87.696447217)"
THEFT,OVER $500,RESIDENCE,FALSE,FALSE,834,8,18,70,6,1155015,1848679,2022,11-12-2022 15:46,41.74057926,-87.70762474,"(41.740579258, -87.707624743)"
THEFT,OVER $500,APARTMENT,FALSE,FALSE,931,9,20,61,6,1166137,1873359,2022,11-12-2022 15:46,41.80807526,-87.66617316,"(41.80807526, -87.666173157)"
THEFT,OVER $500,RESIDENCE - GARAGE,FALSE,FALSE,1231,12,28,28,6,1168185,1898312,2022,11-12-2022 15:46,41.87650474,-87.6579419,"(41.876504743, -87.657941902)"
THEFT,OVER $500,GAS STATION,FALSE,FALSE,1823,18,27,8,6,1173639,1905658,2022,11-12-2022 15:46,41.89654309,-87.6376981,"(41.896543094, -87.637698101)"
THEFT,OVER $500,SIDEWALK,FALSE,FALSE,1832,18,2,8,6,1175409,1905202,2022,11-12-2022 15:46,41.89525224,-87.63121098,"(41.895252242, -87.631210977)"
THEFT,OVER $500,VEHICLE NON-COMMERCIAL,FALSE,FALSE,1115,11,28,26,6,1148061,1899322,2022,11-12-2022 15:46,41.87968708,-87.73180511,"(41.879687075, -87.731805111)"
THEFT,OVER $500,STREET,TRUE,TRUE,1134,11,28,27,6,1155113,1897686,2022,10-11-2022 16:45,41.87505917,-87.70595493,"(41.875059174, -87.705954932)"
THEFT,OVER $500,APARTMENT,FALSE,FALSE,213,2,3,38,6,1178303,1877002,2022,11-12-2022 15:46,41.81780414,-87.62144089,"(41.817804139, -87.621440887)"
THEFT,OVER $500,VEHICLE - COMMERCIAL,FALSE,FALSE,1924,19,44,6,6,1168980,1923627,2022,11-12-2022 15:46,41.94595337,-87.65428707,"(41.945953368, -87.65428707)"
THEFT,OVER $500,STREET,FALSE,FALSE,1832,18,2,8,6,1176197,1906710,2022,11-12-2022 15:46,41.89937254,-87.62827137,"(41.899372536, -87.628271368)"
THEFT,OVER $500,APARTMENT,FALSE,FALSE,1925,19,44,6,6,1170327,1922601,2022,10-11-2022 16:45,41.94310859,-87.64936609,"(41.943108594, -87.649366085)"
THEFT,OVER $500,STREET,FALSE,TRUE,412,4,8,45,6,1190686,1848030,2022,11-12-2022 15:46,41.7380123,-87.57695177,"(41.738012299, -87.576951771)"
THEFT,OVER $500,STREET,FALSE,FALSE,532,5,9,53,6,1179290,1826092,2022,11-12-2022 15:46,41.67807874,-87.6193699,"(41.678078737, -87.619369904)"
